,Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
689,PASZEK/HAKE,Bronze Medal,09 AUG,GER,W,Canoe Sprint
690,PUPP/FOJT,Bronze Medal,09 AUG,HUN,W,Canoe Sprint
691,Harrie LAVREYSEN,Gold Medal,09 AUG,NED,M,Cycling Track
692,Matthew RICHARDSON,Silver Medal,09 AUG,AUS,M,Cycling Track
693,Jack CARLIN,Bronze Medal,09 AUG,GBR,M,Cycling Track
695,CHEN Yiwen,Gold Medal,09 AUG,CHN,W,Diving
696,Maddison KEENEY,Silver Medal,09 AUG,AUS,W,Diving
697,CHANG Yani,Bronze Medal,09 AUG,CHN,W,Diving
698,Kristof RASOVSZKY,Gold Medal,09 AUG,HUN,M,Marathon Swimming
699,Oliver KLEMET,Silver Medal,09 AUG,GER,M,Marathon Swimming
700,David BETLEHEM,Bronze Medal,09 AUG,HUN,M,Marathon Swimming
701,Valentin BONTUS,Gold Medal,09 AUG,AUT,M,Sailing
702,Toni VODISEK,Silver Medal,09 AUG,SLO,M,Sailing
703,Maximilian MAEDER,Bronze Medal,09 AUG,SGP,M,Sailing
704,Toby ROBERTS,Gold Medal,09 AUG,GBR,M,Sport Climbing
705,ANRAKU Sorato,Silver Medal,09 AUG,JPN,M,Sport Climbing
706,Jakob SCHUBERT,Bronze Medal,09 AUG,AUT,M,Sport Climbing
707,Firas KATOUSSI,Gold Medal,09 AUG,TUN,M,Taekwondo
708,Mehran BARKHORDARI,Silver Medal,09 AUG,IRI,M,Taekwondo
709,Simone ALESSIO,Bronze Medal,09 AUG,ITA,M,Taekwondo
710,Edi HRNIC,Bronze Medal,09 AUG,DEN,M,Taekwondo
711,Viviana MARTON,Gold Medal,09 AUG,HUN,W,Taekwondo
712,Aleksandra PERISIC,Silver Medal,09 AUG,SRB,W,Taekwondo
713,Kristina TEACHOUT,Bronze Medal,09 AUG,USA,W,Taekwondo
714,Sarah CHAARI,Bronze Medal,09 AUG,BEL,W,Taekwondo
715,Karlos May NASAR,Gold Medal,09 AUG,BUL,M,Weightlifting
716,Yeison LOPEZ,Silver Medal,09 AUG,COL,M,Weightlifting
717,Antonino PIZZOLATO,Bronze Medal,09 AUG,ITA,M,Weightlifting
718,Olivia REEVES,Gold Medal,09 AUG,USA,W,Weightlifting
719,Mari Leivis SANCHEZ,Silver Medal,09 AUG,COL,W,Weightlifting
720,Angie Paola PALACIOS DAJOMES,Bronze Medal,09 AUG,ECU,W,Weightlifting
721,HIGUCHI Rei,Gold Medal,09 AUG,JPN,M,Wrestling
722,Spencer Richard LEE,Silver Medal,09 AUG,USA,M,Wrestling
723,Aman AMAN,Bronze Medal,09 AUG,IND,M,Wrestling
724,Gulomjon ABDULLAEV,Bronze Medal,09 AUG,UZB,M,Wrestling
725,Magomed Eldarovitch RAMAZANOV,Gold Medal,09 AUG,BUL,M,Wrestling
726,Hassan YAZDANICHARATI,Silver Medal,09 AUG,IRI,M,Wrestling
727,Aaron Marquel BROOKS,Bronze Medal,09 AUG,USA,M,Wrestling
728,Dauren KURUGLIEV,Bronze Medal,09 AUG,GRE,M,Wrestling
729,SAKURAI Tsugumi,Gold Medal,09 AUG,JPN,W,Wrestling
730,Anastasia NICHITA,Silver Medal,09 AUG,MDA,W,Wrestling
731,Helen Louise MAROULIS,Bronze Medal,09 AUG,USA,W,Wrestling
732,HONG Kexin,Bronze Medal,09 AUG,CHN,W,Wrestling
735,Jakob INGEBRIGTSEN,Gold Medal,10 AUG,NOR,M,Athletics
736,Ronald KWEMOI,Silver Medal,10 AUG,KEN,M,Athletics
737,Grant FISHER,Bronze Medal,10 AUG,USA,M,Athletics
738,Emmanuel WANYONYI,Gold Medal,10 AUG,KEN,M,Athletics
739,Marco AROP,Silver Medal,10 AUG,CAN,M,Athletics
740,Djamel SEDJATI,Bronze Medal,10 AUG,ALG,M,Athletics
741,Hamish KERR,Gold Medal,10 AUG,NZL,M,Athletics
742,Shelby McEWEN,Silver Medal,10 AUG,USA,M,Athletics
743,Mutaz Essa BARSHIM,Bronze Medal,10 AUG,QAT,M,Athletics
744,Tamirat TOLA,Gold Medal,10 AUG,ETH,M,Athletics
745,Bashir ABDI,Silver Medal,10 AUG,BEL,M,Athletics
746,Benson KIPRUTO,Bronze Medal,10 AUG,KEN,M,Athletics
747,Masai RUSSELL,Gold Medal,10 AUG,USA,W,Athletics
748,Cyrena SAMBA-MAYELA,Silver Medal,10 AUG,FRA,W,Athletics
749,Jasmine CAMACHO-QUINN,Bronze Medal,10 AUG,PUR,W,Athletics
750,Faith KIPYEGON,Gold Medal,10 AUG,KEN,W,Athletics
751,Jessica HULL,Silver Medal,10 AUG,AUS,W,Athletics
754,KITAGUCHI Haruka,Gold Medal,10 AUG,JPN,W,Athletics
755,Jo-Ane van DYK,Silver Medal,10 AUG,RSA,W,Athletics
756,Nikola OGRODNIKOVA,Bronze Medal,10 AUG,CZE,W,Athletics
757,AHMAN/HELLVIG,Gold Medal,10 AUG,SWE,M,Beach Volleyball
758,EHLERS/WICKLER,Silver Medal,10 AUG,GER,M,Beach Volleyball
759,MOL/SORUM,Bronze Medal,10 AUG,NOR,M,Beach Volleyball
760,Bakhodir JALOLOV,Gold Medal,10 AUG,UZB,M,Boxing
761,Ayoub GHADFA DRISSI EL AISSAOUI,Silver Medal,10 AUG,ESP,M,Boxing
763,Munarbek SEIITBEK UULU,Silver Medal,10 AUG,KGZ,M,Boxing
764,LIN Yu Ting,Gold Medal,10 AUG,TPE,W,Boxing
765,Julia SZEREMETA,Silver Medal,10 AUG,POL,W,Boxing
766,LI Qian,Gold Medal,10 AUG,CHN,W,Boxing
767,Atheyna Bibeichi BYLON,Silver Medal,10 AUG,PAN,W,Boxing
768,PHIL WIZARD,Gold Medal,10 AUG,CAN,M,Breaking
769,DANY DANN,Silver Medal,10 AUG,FRA,M,Breaking
770,VICTOR,Bronze Medal,10 AUG,USA,M,Breaking
771,Josef DOSTAL,Gold Medal,10 AUG,CZE,M,Canoe Sprint
772,Adam VARGA,Silver Medal,10 AUG,HUN,M,Canoe Sprint
773,Balint KOPASZ,Bronze Medal,10 AUG,HUN,M,Canoe Sprint
774,Katie VINCENT,Gold Medal,10 AUG,CAN,W,Canoe Sprint
775,Nevin HARRISON,Silver Medal,10 AUG,USA,W,Canoe Sprint
776,Yarisleidis CIRILO DUBOYS,Bronze Medal,10 AUG,CUB,W,Canoe Sprint
777,Lisa CARRINGTON,Gold Medal,10 AUG,NZL,W,Canoe Sprint
778,Tamara CSIPES,Silver Medal,10 AUG,HUN,W,Canoe Sprint
779,Emma Aastrand JORGENSEN,Bronze Medal,10 AUG,DEN,W,Canoe Sprint
780,CAO Yuan,Gold Medal,10 AUG,CHN,M,Diving
781,TAMAI Rikuto,Silver Medal,10 AUG,JPN,M,Diving
782,Noah WILLIAMS,Bronze Medal,10 AUG,GBR,M,Diving
783,Lydia KO,Gold Medal,10 AUG,NZL,W,Golf
784,Esther HENSELEIT,Silver Medal,10 AUG,GER,W,Golf
785,LIN Xiyu Janet,Bronze Medal,10 AUG,CHN,W,Golf
786,Ahmed ELGENDY,Gold Medal,10 AUG,EGY,M,Modern Pentathlon
787,SATO Taishu,Silver Medal,10 AUG,JPN,M,Modern Pentathlon
788,Giorgio MALAN,Bronze Medal,10 AUG,ITA,M,Modern Pentathlon
789,Janja GARNBRET,Gold Medal,10 AUG,SLO,W,Sport Climbing
790,Brooke RABOUTOU,Silver Medal,10 AUG,USA,W,Sport Climbing
791,Jessica PILZ,Bronze Medal,10 AUG,AUT,W,Sport Climbing
793,Arian SALIMI,Gold Medal,10 AUG,IRI,M,Taekwondo
794,Caden CUNNINGHAM,Silver Medal,10 AUG,GBR,M,Taekwondo
795,Rafael ALBA,Bronze Medal,10 AUG,CUB,M,Taekwondo
796,Cheick Sallah CISSE,Bronze Medal,10 AUG,CIV,M,Taekwondo
797,Althea LAURIN,Gold Medal,10 AUG,FRA,W,Taekwondo
798,Svetlana OSIPOVA,Silver Medal,10 AUG,UZB,W,Taekwondo
799,LEE Dabin,Bronze Medal,10 AUG,KOR,W,Taekwondo
800,Nafia KUS AYDIN,Bronze Medal,10 AUG,TUR,W,Taekwondo
801,Lasha TALAKHADZE,Gold Medal,10 AUG,GEO,M,Weightlifting
802,Varazdat LALAYAN,Silver Medal,10 AUG,ARM,M,Weightlifting
803,Gor MINASYAN,Bronze Medal,10 AUG,BRN,M,Weightlifting
804,LIU Huanhua,Gold Medal,10 AUG,CHN,M,Weightlifting
805,Akbar DJURAEV,Silver Medal,10 AUG,UZB,M,Weightlifting
806,Yauheni TSIKHANTSOU,Bronze Medal,10 AUG,AIN,M,Weightlifting
807,Solfrid Eila Amena KOANDA,Gold Medal,10 AUG,NOR,W,Weightlifting
808,Sara AHMED,Silver Medal,10 AUG,EGY,W,Weightlifting
809,Neisi Patricia DAJOMES BARRERA,Bronze Medal,10 AUG,ECU,W,Weightlifting
810,Geno PETRIASHVILI,Gold Medal,10 AUG,GEO,M,Wrestling
811,Amir Hossein ZARE,Silver Medal,10 AUG,IRI,M,Wrestling
812,Taha AKGUL,Bronze Medal,10 AUG,TUR,M,Wrestling
813,Giorgi MESHVILDISHVILI,Bronze Medal,10 AUG,AZE,M,Wrestling
814,Razambek Salambekovitch JAMALOV,Gold Medal,10 AUG,UZB,M,Wrestling
815,TAKATANI Daichi,Silver Medal,10 AUG,JPN,M,Wrestling
816,Kyle Douglas DAKE,Bronze Medal,10 AUG,USA,M,Wrestling
817,Chermen VALIEV,Bronze Medal,10 AUG,ALB,M,Wrestling
818,MOTOKI Sakura,Gold Medal,10 AUG,JPN,W,Wrestling
819,Iryna KOLIADENKO,Silver Medal,10 AUG,UKR,W,Wrestling
820,Aisuluu TYNYBEKOVA,Bronze Medal,10 AUG,KGZ,W,Wrestling
821,Grace Jacob BULLEN,Bronze Medal,10 AUG,NOR,W,Wrestling
822,Sifan HASSAN,Gold Medal,11 AUG,NED,W,Athletics
823,Tigst ASSEFA,Silver Medal,11 AUG,ETH,W,Athletics
824,Hellen OBIRI,Bronze Medal,11 AUG,KEN,W,Athletics
825,Harrie LAVREYSEN,Gold Medal,11 AUG,NED,M,Cycling Track
826,Matthew RICHARDSON,Silver Medal,11 AUG,AUS,M,Cycling Track
827,Matthew GLAETZER,Bronze Medal,11 AUG,AUS,M,Cycling Track
828,Jennifer VALENTE,Gold Medal,11 AUG,USA,W,Cycling Track
829,Daria PIKULIK,Silver Medal,11 AUG,POL,W,Cycling Track
830,Ally WOLLASTON,Bronze Medal,11 AUG,NZL,W,Cycling Track
831,Ellesse ANDREWS,Gold Medal,11 AUG,NZL,W,Cycling Track
832,Lea FRIEDRICH,Silver Medal,11 AUG,GER,W,Cycling Track
833,Emma FINUCANE,Bronze Medal,11 AUG,GBR,W,Cycling Track
834,Michelle GULYAS,Gold Medal,11 AUG,HUN,W,Modern Pentathlon
835,Elodie CLOUVEL,Silver Medal,11 AUG,FRA,W,Modern Pentathlon
836,SEONG Seungmin,Bronze Medal,11 AUG,KOR,W,Modern Pentathlon
837,LI Wenwen,Gold Medal,11 AUG,CHN,W,Weightlifting
838,PARK Hyejeong,Silver Medal,11 AUG,KOR,W,Weightlifting
839,Emily CAMPBELL,Bronze Medal,11 AUG,GBR,W,Weightlifting
840,KIYOOKA Kotaro,Gold Medal,11 AUG,JPN,M,Wrestling
841,Rahman AMOUZADKHALILI,Silver Medal,11 AUG,IRI,M,Wrestling
842,Sebastian C RIVERA,Bronze Medal,11 AUG,PUR,M,Wrestling
843,Islam DUDAEV,Bronze Medal,11 AUG,ALB,M,Wrestling
844,Akhmed TAZHUDINOV,Gold Medal,11 AUG,BRN,M,Wrestling
845,Givi MATCHARASHVILI,Silver Medal,11 AUG,GEO,M,Wrestling
846,Magomedkhan MAGOMEDOV,Bronze Medal,11 AUG,AZE,M,Wrestling
847,Amirali AZARPIRA,Bronze Medal,11 AUG,IRI,M,Wrestling
848,KAGAMI Yuka,Gold Medal,11 AUG,JPN,W,Wrestling
849,Kennedy Alexis BLADES,Silver Medal,11 AUG,USA,W,Wrestling
850,Milaimy de la Carid. MARIN POTRILLE,Bronze Medal,11 AUG,CUB,W,Wrestling
851,Tatiana RENTERIA RENTERIA,Bronze Medal,11 AUG,COL,W,Wrestling
