Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
HORIGOME Yuto,Gold Medal,7/29/2024,JPN,M,Skateboarding
Jagger EATON,Silver Medal,7/29/2024,USA,M,Skateboarding
BARROWS/HENKEN,Bronze Medal,8/2/2024,USA,M,Sailing
Thomas CECCON,Gold Medal,7/29/2024,ITA,M,Swimming
XU Jiayu,Silver Medal,7/29/2024,CHN,M,Swimming
Beatriz Iasmin SOARES FERREIRA,Bronze Medal,8/3/2024,BRA,F,Boxing
David POPOVICI,Gold Medal,7/29/2024,ROU,M,Swimming
Matthew RICHARDS,Silver Medal,7/29/2024,GBR,M,Swimming
Benson KIPRUTO,Bronze Medal,8/10/2024,KEN,M,Athletics
Tatjana SMITH,Gold Medal,7/29/2024,RSA,F,Swimming
TANG Qianting,Silver Medal,7/29/2024,CHN,F,Swimming
Beth POTTER,Bronze Medal,7/31/2024,GBR,F,Triathlon
Mollie O'CALLAGHAN,Gold Medal,7/29/2024,AUS,F,Swimming
Ariarne TITMUS,Silver Medal,7/29/2024,AUS,F,Swimming
Bozhidar Dimitrov ANDREEV,Bronze Medal,8/8/2024,BUL,M,Weightlifting
Victor LINDGREN,Silver Medal,7/29/2024,SWE,M,Shooting
Brittany BROWN,Bronze Medal,8/6/2024,USA,F,Athletics
BUCSA/SORRIBES TORMO,Bronze Medal,8/4/2024,ESP,F,Tennis
Andreja LESKI,Gold Medal,7/30/2024,SLO,F,Judo
Prisca AWITI ALCARAZ,Silver Medal,7/30/2024,MEX,F,Judo
QI Ying,Silver Medal,7/30/2024,CHN,M,Shooting
Buse CAVUSOGLU TOSUN,Bronze Medal,8/6/2024,TUR,F,Wrestling
Italy,Silver Medal,7/30/2024,ITA,F,Artistic Gymnastics
Caitlin PARKER,Bronze Medal,8/8/2024,AUS,F,Boxing
Kaylee McKEOWN,Gold Medal,7/30/2024,AUS,F,Swimming
Regan SMITH,Silver Medal,7/30/2024,USA,F,Swimming
Carson FOSTER,Bronze Medal,7/28/2024,USA,M,Swimming
OKA Shinnosuke,Gold Medal,7/31/2024,JPN,M,Artistic Gymnastics
ZHANG Boheng,Silver Medal,7/31/2024,CHN,M,Artistic Gymnastics
Caspar CORBEAU,Bronze Medal,7/31/2024,NED,M,Swimming
Jessica FOX,Gold Medal,7/31/2024,AUS,F,Canoe Slalom
Elena LILIK,Silver Medal,7/31/2024,GER,F,Canoe Slalom
CHANG Yani,Bronze Medal,8/9/2024,CHN,F,Diving
Jose TORRES GIL,Gold Medal,7/31/2024,ARG,M,Cycling BMX Freestyle
Kieran Darren David REILLY,Silver Medal,7/31/2024,GBR,M,Cycling BMX Freestyle
Charlie SENIOR,Bronze Medal,8/8/2024,AUS,M,Boxing
DENG Yawen,Gold Medal,7/31/2024,CHN,F,Cycling BMX Freestyle
Perris BENEGAS,Silver Medal,7/31/2024,USA,F,Cycling BMX Freestyle
Cheick Sallah CISSE,Bronze Medal,8/10/2024,CIV,M,Taekwondo
